record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,sin_week_of_year,cos_week_of_year,sin_month,cos_month,gap_since_lag_1_records,lag_3_weeks,target_changing_rate_per_week_1,target_changing_rate_per_week_2,Y_true,Y_pred
67054,2031-10-11,8023,216233,133.95,133.95,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.795790545596741,-0.00290093891860833,-0.0003657198979628374,4.955827057601261,4.6791434
67079,2031-10-11,8058,216233,133.2375,133.2375,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.007333185232471,0.0022616468801637765,-0.002037634431249735,3.258096538021482,3.7134342
67027,2031-10-11,8063,216233,133.95,133.95,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.8066624897703196,0.001839176145369377,-0.0034408337004992657,3.4011973816621555,3.455485
66959,2031-10-11,8091,216233,133.95,133.95,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,2.9444389791664403,0.007169625561244564,0.00238987530963922,3.4657359027997265,3.197507
67003,2031-10-11,8094,216233,130.3875,130.3875,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.204692619390966,0.0044949805109386525,-0.002162083766653764,3.912023005428146,4.000863
66978,2031-10-11,8095,216233,133.95,133.95,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.6913478822291435,-0.0025201232430018886,-0.00162272930551728,4.553876891600541,4.473702
67128,2031-10-11,8121,216233,128.25,128.25,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.6375861597263857,-0.00042967790391859823,0.0013467315642749613,3.8066624897703196,3.6604428
67149,2031-10-11,8218,216233,128.9625,128.9625,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.258096538021482,-0.013856209965077672,-0.004871801563678737,3.2188758248682006,3.3359761
67104,2031-10-11,8222,216233,134.6625,134.6625,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.672828834461906,-0.0008107147266816958,-0.0013936993406277994,4.465908118654584,4.421789
67172,2031-10-11,8317,216233,130.3875,130.3875,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.060443010546419,-0.023629926083055267,-0.006415370126218091,4.189654742026425,4.038245
67196,2031-10-11,8319,216233,130.3875,130.3875,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.4965075614664802,0.00456072080591826,0.0010345751579359283,4.07753744390572,3.6403913
67214,2031-10-11,8392,216233,129.675,129.675,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.4965075614664802,-0.011574980592389702,-0.003672347747799494,4.02535169073515,3.5199747
67233,2031-10-11,8398,216233,133.2375,133.2375,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,4.574710978503383,0.008412736641284783,-0.0037143327641406786,4.248495242049359,4.0109925
67255,2031-10-11,8400,216233,133.2375,133.2375,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.4011973816621555,-0.007597867656469057,-0.0016822397326945447,3.784189633918261,3.5313668
67273,2031-10-11,8422,216233,126.825,126.825,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.044522437723423,-0.024090697869972245,-0.009252533268256332,3.5263605246161616,3.3194275
67296,2031-10-11,8438,216233,130.3875,130.3875,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.970291913552122,-0.0026086121698148043,-0.002320916934160235,4.060443010546419,3.8535814
67320,2031-10-11,8555,216233,127.5375,127.5375,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.4011973816621555,0.002830748190235783,0.0009435827784674511,3.4011973816621555,3.37681
67340,2031-10-11,8562,216233,131.1,131.1,0,0,0,4,0,0,0,0,-0.9709418174260521,0.23931566428755738,-0.8660254037844386,0.5000000000000001,13.0,3.8066624897703196,0.00043209148623766657,0.00029290824827686845,3.871201010907891,3.7722993
