,feature,importance
0,is_featured_sku,55.091522216796875
1,ewma_4_records,54.14189529418945
2,is_display_sku,37.88344192504883
3,is_discount_sku,30.369693756103516
4,ewma_3_records,9.491353988647461
5,sku_id,5.739159107208252
6,total_price,3.812268018722534
7,store_id,3.0012173652648926
8,lag_4_weeks,2.5820891857147217
9,cos_month,2.293989658355713
10,base_price,1.7962459325790405
11,sin_month,1.75993812084198
12,gap_since_lag_1_records,1.731535792350769
13,cos_week_of_year,1.6878843307495117
14,sin_week_of_year,1.4988501071929932
15,target_changing_rate_per_week_2,1.3441439867019653
16,quarter,1.289878010749817
17,target_changing_rate_per_week_1,0.9276131391525269
