record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,Y_true,Y_pred
66959,2031-10-11,8091,216233,133.95,133.95,0,0,3.4657359027997265,3.2686818
66978,2031-10-11,8095,216233,133.95,133.95,0,0,4.553876891600541,4.4127817
67003,2031-10-11,8094,216233,130.3875,130.3875,0,0,3.912023005428146,3.9615972
67027,2031-10-11,8063,216233,133.95,133.95,0,0,3.4011973816621555,3.4016867
67054,2031-10-11,8023,216233,133.95,133.95,0,0,4.955827057601261,4.6314216
67079,2031-10-11,8058,216233,133.2375,133.2375,0,0,3.258096538021482,3.6293883
67104,2031-10-11,8222,216233,134.6625,134.6625,0,0,4.465908118654584,4.3059607
67128,2031-10-11,8121,216233,128.25,128.25,0,0,3.8066624897703196,3.4757285
67149,2031-10-11,8218,216233,128.9625,128.9625,0,0,3.2188758248682006,3.1923249
67172,2031-10-11,8317,216233,130.3875,130.3875,0,0,4.189654742026425,3.9756355
67196,2031-10-11,8319,216233,130.3875,130.3875,0,0,4.07753744390572,3.526956
67214,2031-10-11,8392,216233,129.675,129.675,0,0,4.02535169073515,3.3413708
67233,2031-10-11,8398,216233,133.2375,133.2375,0,0,4.248495242049359,3.8459435
67255,2031-10-11,8400,216233,133.2375,133.2375,0,0,3.784189633918261,3.368871
67273,2031-10-11,8422,216233,126.825,126.825,0,0,3.5263605246161616,3.216832
67296,2031-10-11,8438,216233,130.3875,130.3875,0,0,4.060443010546419,3.773599
67320,2031-10-11,8555,216233,127.5375,127.5375,0,0,3.4011973816621555,3.1691942
67340,2031-10-11,8562,216233,131.1,131.1,0,0,3.871201010907891,3.6508667
67368,2031-10-11,8869,216233,134.6625,134.6625,0,0,4.060443010546419,3.9188397
67391,2031-10-11,8991,216233,127.5375,127.5375,0,0,3.7612001156935624,3.6261656
67415,2031-10-11,8911,216233,127.5375,127.5375,0,0,3.1354942159291497,3.2605586
67446,2031-10-11,9043,216233,131.8125,131.8125,0,0,3.5263605246161616,3.4696896
67465,2031-10-11,9092,216233,131.8125,131.8125,0,0,3.332204510175204,3.0940201
67489,2031-10-11,9112,216233,133.95,133.95,0,0,4.406719247264253,4.2718363
67513,2031-10-11,9132,216233,130.3875,130.3875,0,0,4.02535169073515,3.4013984
67533,2031-10-11,9147,216233,132.525,132.525,0,0,3.5263605246161616,3.8537927
67555,2031-10-11,9164,216233,133.2375,133.2375,0,0,3.7376696182833684,3.6195514
67573,2031-10-11,9178,216233,133.2375,133.2375,0,0,2.6390573296152584,2.7316198
67593,2031-10-11,9190,216233,128.9625,128.9625,0,0,4.430816798843313,4.192227
67617,2031-10-11,9221,216233,131.1,131.1,0,0,3.8501476017100584,3.7073014
67638,2031-10-11,9250,216233,134.6625,134.6625,0,0,4.0943445622221,3.9739175
67664,2031-10-11,9273,216233,128.25,128.25,0,0,3.713572066704308,3.6261005
67685,2031-10-11,9279,216233,128.25,128.25,0,0,3.713572066704308,3.4244583
67707,2031-10-11,9281,216233,128.25,128.25,0,0,3.6109179126442243,3.8178935
67729,2031-10-11,9328,216233,130.3875,130.3875,0,0,3.7612001156935624,3.4300416
67753,2031-10-11,9371,216233,133.2375,133.2375,0,0,3.367295829986474,3.2298224
67769,2031-10-11,9442,216233,134.6625,134.6625,0,0,3.912023005428146,3.4541142
67789,2031-10-11,9430,216233,133.95,133.95,0,0,3.5553480614894135,3.668489
67809,2031-10-11,9439,216233,128.9625,128.9625,0,0,3.258096538021482,3.1651776
67848,2031-10-11,9432,216233,131.1,131.1,0,0,3.7376696182833684,3.2743428
67871,2031-10-11,9436,216233,128.9625,128.9625,0,0,3.7376696182833684,3.4756184
67889,2031-10-11,9456,216233,131.8125,131.8125,0,0,3.1354942159291497,3.243141
67910,2031-10-11,9479,216233,131.1,131.1,0,0,3.044522437723423,3.3295465
67932,2031-10-11,9481,216233,134.6625,134.6625,0,0,4.31748811353631,4.038039
67955,2031-10-11,9490,216233,128.9625,128.9625,0,0,3.4011973816621555,3.332467
67976,2031-10-11,9498,216233,128.9625,128.9625,0,0,3.784189633918261,3.8257296
67996,2031-10-11,9532,216233,131.8125,131.8125,0,0,3.6109179126442243,3.841661
