record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,month,week_of_year,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,9,37,3.6109179126442243,3.574234
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,9,37,4.804021044733257,4.7570333
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,9,37,4.6443908991413725,4.2269535
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,9,37,3.5553480614894135,3.6695964
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,9,37,4.787491742782046,4.9952016
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,9,37,3.332204510175204,3.9615457
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,9,37,4.9344739331306915,4.7586126
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,9,37,3.1780538303479458,3.7681644
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,9,37,3.091042453358316,3.3930676
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,9,37,4.248495242049359,4.2402477
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,9,37,3.784189633918261,3.8409173
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,9,37,3.044522437723423,3.4992476
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,9,37,4.23410650459726,4.201575
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,9,37,3.5263605246161616,3.8375912
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,9,37,3.1780538303479458,3.4573038
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,9,37,4.060443010546419,4.1264443
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,9,37,2.995732273553991,3.3555532
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,9,37,3.6888794541139363,3.9969935
