record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,quarter,week_of_year,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,3,37,3.6109179126442243,3.5736353
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,3,37,4.804021044733257,4.7545395
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,3,37,4.6443908991413725,4.2258077
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,3,37,3.5553480614894135,3.669335
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,3,37,4.787491742782046,5.002444
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,3,37,3.332204510175204,3.943959
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,3,37,4.9344739331306915,4.752967
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,3,37,3.1780538303479458,3.748135
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,3,37,3.091042453358316,3.409228
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,3,37,4.248495242049359,4.233166
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,3,37,3.784189633918261,3.8543644
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,3,37,3.044522437723423,3.477464
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,3,37,4.23410650459726,4.2429814
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,3,37,3.5263605246161616,3.834289
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,3,37,3.1780538303479458,3.4594424
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,3,37,4.060443010546419,4.165411
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,3,37,2.995732273553991,3.3684976
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,3,37,3.6888794541139363,4.026823
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,3,37,4.2626798770413155,4.37183
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,3,37,4.110873864173311,3.95515
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,3,37,3.871201010907891,3.4612408
144373,2025-09-12,9043,216233,118.275,118.275,0,0,0,1.0,3,37,3.6109179126442243,3.7676773
144392,2025-09-12,9092,216233,118.275,132.525,0,0,1,0.8924731182795699,3,37,2.9444389791664403,3.4246187
144416,2025-09-12,9112,216233,116.85,116.85,0,0,0,1.0,3,37,4.553876891600541,4.5868096
144441,2025-09-12,9132,216233,114.7125,114.7125,0,0,0,1.0,3,37,3.871201010907891,3.6893268
144461,2025-09-12,9147,216233,118.275,118.275,0,0,0,1.0,3,37,4.174387269895637,4.140913
144483,2025-09-12,9164,216233,116.1375,133.2375,0,0,1,0.8716577540106951,3,37,3.58351893845611,4.0597916
144501,2025-09-12,9178,216233,117.5625,133.2375,0,0,1,0.8823529411764706,3,37,2.3978952727983707,3.0414014
144521,2025-09-12,9190,216233,115.425,129.675,0,0,1,0.8901098901098901,3,37,4.276666119016055,4.522177
144546,2025-09-12,9221,216233,113.2875,129.675,0,0,1,0.8736263736263735,3,37,4.110873864173311,4.0498767
144567,2025-09-12,9250,216233,118.275,118.275,0,0,0,1.0,3,37,4.127134385045092,4.380964
144593,2025-09-12,9273,216233,112.575,126.825,0,0,1,0.8876404494382022,3,37,3.9889840465642745,4.131077
144614,2025-09-12,9279,216233,111.8625,128.25,0,0,1,0.8722222222222222,3,37,3.912023005428146,3.6145391
144636,2025-09-12,9281,216233,112.575,125.4,0,0,1,0.8977272727272727,3,37,4.5217885770490405,4.1645875
144658,2025-09-12,9328,216233,116.85,116.85,0,0,0,1.0,3,37,3.58351893845611,3.7712808
144682,2025-09-12,9371,216233,118.9875,134.6625,0,0,1,0.8835978835978836,3,37,3.091042453358316,3.383022
144699,2025-09-12,9442,216233,117.5625,133.2375,0,0,1,0.8823529411764706,3,37,3.8501476017100584,3.8854365
144719,2025-09-12,9430,216233,118.9875,118.9875,0,0,0,1.0,3,37,4.02535169073515,3.9068506
144739,2025-09-12,9439,216233,112.575,126.1125,0,0,1,0.8926553672316384,3,37,3.091042453358316,3.4748619
144778,2025-09-12,9432,216233,113.2875,131.1,0,0,1,0.8641304347826086,3,37,3.6888794541139363,3.5447278
144801,2025-09-12,9436,216233,115.425,115.425,0,0,0,1.0,3,37,3.970291913552122,3.9558525
144819,2025-09-12,9456,216233,111.8625,111.8625,0,0,0,1.0,3,37,3.5263605246161616,3.666022
144840,2025-09-12,9479,216233,116.1375,116.1375,0,0,0,1.0,3,37,3.1354942159291497,3.7068717
144862,2025-09-12,9481,216233,117.5625,133.2375,0,0,1,0.8823529411764706,3,37,4.605170185988092,4.4965158
