record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,year,month,quarter,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,2025,9,3,3.6109179126442243,3.3420384
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,2025,9,3,4.804021044733257,4.773576
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,2025,9,3,4.6443908991413725,4.1776776
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,2025,9,3,3.5553480614894135,3.6004157
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,2025,9,3,4.787491742782046,5.050268
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,2025,9,3,3.332204510175204,3.9300976
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,2025,9,3,4.9344739331306915,4.7571993
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,2025,9,3,3.1780538303479458,3.7642367
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,2025,9,3,3.091042453358316,3.4538639
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,2025,9,3,4.248495242049359,4.313495
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,2025,9,3,3.784189633918261,3.6282024
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,2025,9,3,3.044522437723423,3.571367
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,2025,9,3,4.23410650459726,4.19301
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,2025,9,3,3.5263605246161616,3.6181228
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,2025,9,3,3.1780538303479458,3.6284628
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,2025,9,3,4.060443010546419,4.245058
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,2025,9,3,2.995732273553991,3.275641
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,2025,9,3,3.6888794541139363,4.0200024
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,2025,9,3,4.2626798770413155,4.286283
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,2025,9,3,4.110873864173311,4.110929
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,2025,9,3,3.871201010907891,3.5458758
144373,2025-09-12,9043,216233,118.275,118.275,0,0,0,1.0,2025,9,3,3.6109179126442243,3.7252533
144392,2025-09-12,9092,216233,118.275,132.525,0,0,1,0.8924731182795699,2025,9,3,2.9444389791664403,3.4644094
144416,2025-09-12,9112,216233,116.85,116.85,0,0,0,1.0,2025,9,3,4.553876891600541,4.616962
144441,2025-09-12,9132,216233,114.7125,114.7125,0,0,0,1.0,2025,9,3,3.871201010907891,3.6861925
144461,2025-09-12,9147,216233,118.275,118.275,0,0,0,1.0,2025,9,3,4.174387269895637,4.012921
144483,2025-09-12,9164,216233,116.1375,133.2375,0,0,1,0.8716577540106951,2025,9,3,3.58351893845611,4.0199456
144501,2025-09-12,9178,216233,117.5625,133.2375,0,0,1,0.8823529411764706,2025,9,3,2.3978952727983707,2.9849267
144521,2025-09-12,9190,216233,115.425,129.675,0,0,1,0.8901098901098901,2025,9,3,4.276666119016055,4.5290666
144546,2025-09-12,9221,216233,113.2875,129.675,0,0,1,0.8736263736263735,2025,9,3,4.110873864173311,4.1705184
144567,2025-09-12,9250,216233,118.275,118.275,0,0,0,1.0,2025,9,3,4.127134385045092,4.369583
144593,2025-09-12,9273,216233,112.575,126.825,0,0,1,0.8876404494382022,2025,9,3,3.9889840465642745,4.1145873
144614,2025-09-12,9279,216233,111.8625,128.25,0,0,1,0.8722222222222222,2025,9,3,3.912023005428146,3.7111394
144636,2025-09-12,9281,216233,112.575,125.4,0,0,1,0.8977272727272727,2025,9,3,4.5217885770490405,4.2693243
144658,2025-09-12,9328,216233,116.85,116.85,0,0,0,1.0,2025,9,3,3.58351893845611,3.7876616
144682,2025-09-12,9371,216233,118.9875,134.6625,0,0,1,0.8835978835978836,2025,9,3,3.091042453358316,3.3643389
144699,2025-09-12,9442,216233,117.5625,133.2375,0,0,1,0.8823529411764706,2025,9,3,3.8501476017100584,3.9452922
144719,2025-09-12,9430,216233,118.9875,118.9875,0,0,0,1.0,2025,9,3,4.02535169073515,3.7849844
144739,2025-09-12,9439,216233,112.575,126.1125,0,0,1,0.8926553672316384,2025,9,3,3.091042453358316,3.4613123
144778,2025-09-12,9432,216233,113.2875,131.1,0,0,1,0.8641304347826086,2025,9,3,3.6888794541139363,3.582542
144801,2025-09-12,9436,216233,115.425,115.425,0,0,0,1.0,2025,9,3,3.970291913552122,4.0093794
144819,2025-09-12,9456,216233,111.8625,111.8625,0,0,0,1.0,2025,9,3,3.5263605246161616,3.6940153
144840,2025-09-12,9479,216233,116.1375,116.1375,0,0,0,1.0,2025,9,3,3.1354942159291497,3.7113302
144862,2025-09-12,9481,216233,117.5625,133.2375,0,0,1,0.8823529411764706,2025,9,3,4.605170185988092,4.4727745
144886,2025-09-12,9490,216233,111.8625,128.9625,0,0,1,0.867403314917127,2025,9,3,3.4965075614664802,3.7317886
