record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,week_of_year,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,37,3.6109179126442243,3.5703728
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,37,4.804021044733257,4.8164687
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,37,4.6443908991413725,4.252512
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,37,3.5553480614894135,3.674137
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,37,4.787491742782046,4.957751
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,37,3.332204510175204,3.9188354
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,37,4.9344739331306915,4.749281
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,37,3.1780538303479458,3.7502816
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,37,3.091042453358316,3.4439826
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,37,4.248495242049359,4.2282605
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,37,3.784189633918261,3.8627834
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,37,3.044522437723423,3.446168
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,37,4.23410650459726,4.2919855
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,37,3.5263605246161616,3.8316329
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,37,3.1780538303479458,3.5021007
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,37,4.060443010546419,4.1819158
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,37,2.995732273553991,3.3330688
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,37,3.6888794541139363,4.0137486
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,37,4.2626798770413155,4.380385
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,37,4.110873864173311,3.9641693
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,37,3.871201010907891,3.527772
144373,2025-09-12,9043,216233,118.275,118.275,0,0,0,1.0,37,3.6109179126442243,3.759737
144392,2025-09-12,9092,216233,118.275,132.525,0,0,1,0.8924731182795699,37,2.9444389791664403,3.4150424
144416,2025-09-12,9112,216233,116.85,116.85,0,0,0,1.0,37,4.553876891600541,4.6525793
144441,2025-09-12,9132,216233,114.7125,114.7125,0,0,0,1.0,37,3.871201010907891,3.7052152
144461,2025-09-12,9147,216233,118.275,118.275,0,0,0,1.0,37,4.174387269895637,4.1135545
144483,2025-09-12,9164,216233,116.1375,133.2375,0,0,1,0.8716577540106951,37,3.58351893845611,4.0224667
144501,2025-09-12,9178,216233,117.5625,133.2375,0,0,1,0.8823529411764706,37,2.3978952727983707,3.0563362
144521,2025-09-12,9190,216233,115.425,129.675,0,0,1,0.8901098901098901,37,4.276666119016055,4.493543
144546,2025-09-12,9221,216233,113.2875,129.675,0,0,1,0.8736263736263735,37,4.110873864173311,4.0933366
144567,2025-09-12,9250,216233,118.275,118.275,0,0,0,1.0,37,4.127134385045092,4.428018
144593,2025-09-12,9273,216233,112.575,126.825,0,0,1,0.8876404494382022,37,3.9889840465642745,4.117117
144614,2025-09-12,9279,216233,111.8625,128.25,0,0,1,0.8722222222222222,37,3.912023005428146,3.633675
144636,2025-09-12,9281,216233,112.575,125.4,0,0,1,0.8977272727272727,37,4.5217885770490405,4.2610335
144658,2025-09-12,9328,216233,116.85,116.85,0,0,0,1.0,37,3.58351893845611,3.7871025
144682,2025-09-12,9371,216233,118.9875,134.6625,0,0,1,0.8835978835978836,37,3.091042453358316,3.3974383
144699,2025-09-12,9442,216233,117.5625,133.2375,0,0,1,0.8823529411764706,37,3.8501476017100584,3.9001734
144719,2025-09-12,9430,216233,118.9875,118.9875,0,0,0,1.0,37,4.02535169073515,3.8633354
144739,2025-09-12,9439,216233,112.575,126.1125,0,0,1,0.8926553672316384,37,3.091042453358316,3.5107005
144778,2025-09-12,9432,216233,113.2875,131.1,0,0,1,0.8641304347826086,37,3.6888794541139363,3.5650094
144801,2025-09-12,9436,216233,115.425,115.425,0,0,0,1.0,37,3.970291913552122,3.9679263
144819,2025-09-12,9456,216233,111.8625,111.8625,0,0,0,1.0,37,3.5263605246161616,3.640633
144840,2025-09-12,9479,216233,116.1375,116.1375,0,0,0,1.0,37,3.1354942159291497,3.719896
144862,2025-09-12,9481,216233,117.5625,133.2375,0,0,1,0.8823529411764706,37,4.605170185988092,4.5005336
144886,2025-09-12,9490,216233,111.8625,128.9625,0,0,1,0.867403314917127,37,3.4965075614664802,3.5847983
144907,2025-09-12,9498,216233,111.8625,125.4,0,0,1,0.8920454545454545,37,4.31748811353631,4.110254
144928,2025-09-12,9532,216233,114.7125,129.675,0,0,1,0.8846153846153846,37,3.9889840465642745,4.2794657
144950,2025-09-12,9578,216233,118.9875,133.2375,0,0,1,0.8930481283422459,37,3.9318256327243257,3.5500853
144970,2025-09-12,9672,216233,118.275,118.275,0,0,0,1.0,37,4.189654742026425,4.0966086
144991,2025-09-12,9611,216233,117.5625,132.525,0,0,1,0.8870967741935484,37,4.290459441148391,4.3130684
145016,2025-09-12,9613,216233,118.275,133.95,0,0,1,0.8829787234042554,37,4.330733340286331,4.55814
145043,2025-09-12,9632,216233,114.7125,114.7125,0,0,0,1.0,37,3.8918202981106265,3.828478
145062,2025-09-12,9680,216233,115.425,129.675,0,0,1,0.8901098901098901,37,3.332204510175204,3.2333093
145080,2025-09-12,9700,216233,118.9875,118.9875,0,0,0,1.0,37,1.791759469228055,2.7381139
145094,2025-09-12,9713,216233,118.9875,118.9875,0,0,0,1.0,37,3.332204510175204,3.8197136
145117,2025-09-12,9731,216233,116.1375,134.6625,0,0,1,0.8624338624338624,37,3.4339872044851463,3.7642186
145138,2025-09-12,9745,216233,120.4125,133.95,0,0,1,0.898936170212766,37,3.8918202981106265,4.194187
145160,2025-09-12,9770,216233,116.1375,116.1375,0,0,0,1.0,37,3.4011973816621555,3.6669652
145181,2025-09-12,9789,216233,118.9875,118.9875,0,0,0,1.0,37,2.0794415416798357,2.9023376
145203,2025-09-12,9813,216233,114.0,128.9625,0,0,1,0.8839779005524862,37,4.060443010546419,4.0184903
145224,2025-09-12,9823,216233,118.275,118.275,0,0,0,1.0,37,4.59511985013459,4.7761707
145251,2025-09-12,9837,216233,118.9875,118.9875,0,0,0,1.0,37,3.9889840465642745,3.900992
145269,2025-09-12,9809,216233,118.275,133.95,0,0,1,0.8829787234042554,37,3.713572066704308,3.9436495
145291,2025-09-12,9845,216233,115.425,115.425,0,0,0,1.0,37,4.787491742782046,4.84572
145316,2025-09-12,9872,216233,116.85,129.675,0,0,1,0.901098901098901,37,3.4657359027997265,3.8709729
145339,2025-09-12,9876,216233,115.425,128.9625,0,0,1,0.8950276243093922,37,3.8066624897703196,3.704116
145358,2025-09-12,9879,216233,116.1375,116.1375,0,0,0,1.0,37,3.713572066704308,3.7724254
145377,2025-09-12,9880,216233,113.2875,131.8125,0,0,1,0.8594594594594595,37,3.8501476017100584,4.0395856
145398,2025-09-12,9881,216233,116.1375,116.1375,0,0,0,1.0,37,3.8918202981106265,4.239632
145422,2025-09-12,9890,216233,117.5625,117.5625,0,0,0,1.0,37,4.143134726391533,4.0340824
145440,2025-09-12,9909,216233,118.275,134.6625,0,1,1,0.8783068783068784,37,4.718498871295094,4.5408006
145459,2025-09-12,9954,216233,114.7125,132.525,0,0,1,0.8655913978494624,37,3.1354942159291497,3.5688257
145484,2025-09-12,9961,216233,116.85,133.2375,0,0,1,0.8770053475935827,37,4.0943445622221,4.279291
145509,2025-09-12,9984,216233,114.7125,129.675,0,0,1,0.8846153846153846,37,3.713572066704308,3.7135446
143885,2025-09-12,8091,216418,104.025,104.025,0,0,0,1.0,37,3.367295829986474,3.388545
143901,2025-09-12,8095,216418,105.45,105.45,0,0,0,1.0,37,5.288267030694535,5.142748
143926,2025-09-12,8094,216418,86.925,86.925,0,0,0,1.0,37,4.454347296253507,4.131797
143952,2025-09-12,8063,216418,86.2125,86.2125,0,0,0,1.0,37,3.6888794541139363,3.6064312
143977,2025-09-12,8023,216418,105.45,104.025,0,1,0,1.0136986301369864,37,5.459585514144159,5.409824
144003,2025-09-12,8058,216418,105.45,106.1625,0,1,1,0.993288590604027,37,4.430816798843313,4.5764
144026,2025-09-12,8222,216418,105.45,105.45,0,0,0,1.0,37,5.384495062789089,5.0300527
144051,2025-09-12,8121,216418,88.35,88.35,0,0,0,1.0,37,3.7612001156935624,3.710155
144073,2025-09-12,8218,216418,86.925,86.2125,0,1,0,1.0082644628099173,37,3.8918202981106265,3.8134246
144155,2025-09-12,8398,216418,104.7375,104.7375,0,0,0,1.0,37,4.30406509320417,4.669341
144177,2025-09-12,8400,216418,104.7375,104.7375,0,0,0,1.0,37,3.871201010907891,3.9853337
144196,2025-09-12,8422,216418,86.925,86.925,0,0,0,1.0,37,3.9889840465642745,3.5048604
144218,2025-09-12,8438,216418,86.2125,86.2125,0,0,0,1.0,37,4.204692619390966,4.16218
144242,2025-09-12,8555,216418,87.6375,87.6375,0,0,0,1.0,37,3.1780538303479458,3.0173812
144262,2025-09-12,8562,216418,104.025,101.8875,0,1,0,1.020979020979021,37,4.727387818712341,4.9897995
144289,2025-09-12,8869,216418,104.7375,104.025,0,1,0,1.0068493150684932,37,4.962844630259907,4.814569
