record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,3.6109179126442243,3.3627644
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,4.804021044733257,4.692573
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,4.6443908991413725,4.24832
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,3.5553480614894135,3.5758734
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,4.787491742782046,4.9506316
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,3.332204510175204,3.8977017
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,4.9344739331306915,4.686017
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,3.1780538303479458,3.740585
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,3.091042453358316,3.411586
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,4.248495242049359,4.20337
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,3.784189633918261,3.774764
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,3.044522437723423,3.394589
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,4.23410650459726,4.0243735
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,3.5263605246161616,3.5987554
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,3.1780538303479458,3.3695688
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,4.060443010546419,4.0850697
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,2.995732273553991,3.0118654
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,3.6888794541139363,3.9981184
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,4.2626798770413155,4.157581
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,4.110873864173311,3.9440312
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,3.871201010907891,3.484887
144373,2025-09-12,9043,216233,118.275,118.275,0,0,0,1.0,3.6109179126442243,3.5746167
144392,2025-09-12,9092,216233,118.275,132.525,0,0,1,0.8924731182795699,2.9444389791664403,3.3821042
144416,2025-09-12,9112,216233,116.85,116.85,0,0,0,1.0,4.553876891600541,4.415269
144441,2025-09-12,9132,216233,114.7125,114.7125,0,0,0,1.0,3.871201010907891,3.4795992
144461,2025-09-12,9147,216233,118.275,118.275,0,0,0,1.0,4.174387269895637,3.9674191
144483,2025-09-12,9164,216233,116.1375,133.2375,0,0,1,0.8716577540106951,3.58351893845611,4.011946
144501,2025-09-12,9178,216233,117.5625,133.2375,0,0,1,0.8823529411764706,2.3978952727983707,3.0159152
144521,2025-09-12,9190,216233,115.425,129.675,0,0,1,0.8901098901098901,4.276666119016055,4.4689674
144546,2025-09-12,9221,216233,113.2875,129.675,0,0,1,0.8736263736263735,4.110873864173311,4.1334963
144567,2025-09-12,9250,216233,118.275,118.275,0,0,0,1.0,4.127134385045092,4.2291975
144593,2025-09-12,9273,216233,112.575,126.825,0,0,1,0.8876404494382022,3.9889840465642745,4.130375
144614,2025-09-12,9279,216233,111.8625,128.25,0,0,1,0.8722222222222222,3.912023005428146,3.5671628
144636,2025-09-12,9281,216233,112.575,125.4,0,0,1,0.8977272727272727,4.5217885770490405,4.2149725
144658,2025-09-12,9328,216233,116.85,116.85,0,0,0,1.0,3.58351893845611,3.6357172
144682,2025-09-12,9371,216233,118.9875,134.6625,0,0,1,0.8835978835978836,3.091042453358316,3.4342887
144699,2025-09-12,9442,216233,117.5625,133.2375,0,0,1,0.8823529411764706,3.8501476017100584,3.8067935
144719,2025-09-12,9430,216233,118.9875,118.9875,0,0,0,1.0,4.02535169073515,3.7148972
144739,2025-09-12,9439,216233,112.575,126.1125,0,0,1,0.8926553672316384,3.091042453358316,3.4495275
144778,2025-09-12,9432,216233,113.2875,131.1,0,0,1,0.8641304347826086,3.6888794541139363,3.5342753
144801,2025-09-12,9436,216233,115.425,115.425,0,0,0,1.0,3.970291913552122,3.780494
144819,2025-09-12,9456,216233,111.8625,111.8625,0,0,0,1.0,3.5263605246161616,3.4431243
144840,2025-09-12,9479,216233,116.1375,116.1375,0,0,0,1.0,3.1354942159291497,3.5260909
144862,2025-09-12,9481,216233,117.5625,133.2375,0,0,1,0.8823529411764706,4.605170185988092,4.442557
144886,2025-09-12,9490,216233,111.8625,128.9625,0,0,1,0.867403314917127,3.4965075614664802,3.5504935
144907,2025-09-12,9498,216233,111.8625,125.4,0,0,1,0.8920454545454545,4.31748811353631,4.1143675
144928,2025-09-12,9532,216233,114.7125,129.675,0,0,1,0.8846153846153846,3.9889840465642745,4.1884017
144950,2025-09-12,9578,216233,118.9875,133.2375,0,0,1,0.8930481283422459,3.9318256327243257,3.5160193
144970,2025-09-12,9672,216233,118.275,118.275,0,0,0,1.0,4.189654742026425,3.926344
144991,2025-09-12,9611,216233,117.5625,132.525,0,0,1,0.8870967741935484,4.290459441148391,4.307156
145016,2025-09-12,9613,216233,118.275,133.95,0,0,1,0.8829787234042554,4.330733340286331,4.5731564
145043,2025-09-12,9632,216233,114.7125,114.7125,0,0,0,1.0,3.8918202981106265,3.634317
145062,2025-09-12,9680,216233,115.425,129.675,0,0,1,0.8901098901098901,3.332204510175204,3.3261645
145080,2025-09-12,9700,216233,118.9875,118.9875,0,0,0,1.0,1.791759469228055,2.4531627
145094,2025-09-12,9713,216233,118.9875,118.9875,0,0,0,1.0,3.332204510175204,3.6525981
145117,2025-09-12,9731,216233,116.1375,134.6625,0,0,1,0.8624338624338624,3.4339872044851463,3.7820432
145138,2025-09-12,9745,216233,120.4125,133.95,0,0,1,0.898936170212766,3.8918202981106265,4.1092377
