record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,month,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,9,3.6109179126442243,3.5286915
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,9,4.804021044733257,4.8132935
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,9,4.6443908991413725,4.237867
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,9,3.5553480614894135,3.6805532
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,9,4.787491742782046,4.937445
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,9,3.332204510175204,3.922165
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,9,4.9344739331306915,4.751715
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,9,3.1780538303479458,3.7342103
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,9,3.091042453358316,3.4050262
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,9,4.248495242049359,4.1683483
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,9,3.784189633918261,3.8072202
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,9,3.044522437723423,3.4994295
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,9,4.23410650459726,4.232371
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,9,3.5263605246161616,3.8637497
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,9,3.1780538303479458,3.4036665
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,9,4.060443010546419,4.1516547
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,9,2.995732273553991,3.3863113
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,9,3.6888794541139363,4.038885
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,9,4.2626798770413155,4.331321
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,9,4.110873864173311,3.9486308
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,9,3.871201010907891,3.5402396
144373,2025-09-12,9043,216233,118.275,118.275,0,0,0,1.0,9,3.6109179126442243,3.7783856
144392,2025-09-12,9092,216233,118.275,132.525,0,0,1,0.8924731182795699,9,2.9444389791664403,3.4196768
144416,2025-09-12,9112,216233,116.85,116.85,0,0,0,1.0,9,4.553876891600541,4.612552
144441,2025-09-12,9132,216233,114.7125,114.7125,0,0,0,1.0,9,3.871201010907891,3.7116811
144461,2025-09-12,9147,216233,118.275,118.275,0,0,0,1.0,9,4.174387269895637,4.131746
144483,2025-09-12,9164,216233,116.1375,133.2375,0,0,1,0.8716577540106951,9,3.58351893845611,4.0434904
