record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,is_discount_sku,discount_ratio,sin_week_of_year,cos_week_of_year,Y_true,Y_pred
143888,2025-09-12,8091,216233,118.275,118.275,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,3.6109179126442243,3.5647955
143907,2025-09-12,8095,216233,117.5625,132.525,0,0,1,0.8870967741935484,-0.970941817426052,-0.23931566428755774,4.804021044733257,4.7816715
143932,2025-09-12,8094,216233,115.425,130.3875,0,0,1,0.8852459016393444,-0.970941817426052,-0.23931566428755774,4.6443908991413725,4.23234
143956,2025-09-12,8063,216233,118.275,118.275,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,3.5553480614894135,3.6948686
143983,2025-09-12,8023,216233,116.1375,133.95,0,0,1,0.8670212765957448,-0.970941817426052,-0.23931566428755774,4.787491742782046,4.9827785
144007,2025-09-12,8058,216233,118.9875,133.2375,0,0,1,0.8930481283422459,-0.970941817426052,-0.23931566428755774,3.332204510175204,3.912485
144032,2025-09-12,8222,216233,116.85,133.2375,0,0,1,0.8770053475935827,-0.970941817426052,-0.23931566428755774,4.9344739331306915,4.745957
144056,2025-09-12,8121,216233,115.425,130.3875,0,0,1,0.8852459016393444,-0.970941817426052,-0.23931566428755774,3.1780538303479458,3.692585
144077,2025-09-12,8218,216233,114.7125,128.9625,0,0,1,0.8895027624309393,-0.970941817426052,-0.23931566428755774,3.091042453358316,3.3886263
144099,2025-09-12,8317,216233,114.0,131.8125,0,0,1,0.8648648648648649,-0.970941817426052,-0.23931566428755774,4.248495242049359,4.1836667
144123,2025-09-12,8319,216233,115.425,128.9625,0,0,1,0.8950276243093922,-0.970941817426052,-0.23931566428755774,3.784189633918261,3.8274922
144141,2025-09-12,8392,216233,110.4375,131.1,0,0,1,0.8423913043478262,-0.970941817426052,-0.23931566428755774,3.044522437723423,3.4340048
144160,2025-09-12,8398,216233,118.275,118.275,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,4.23410650459726,4.258634
144182,2025-09-12,8400,216233,117.5625,117.5625,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,3.5263605246161616,3.824336
144200,2025-09-12,8422,216233,114.7125,133.2375,0,0,1,0.8609625668449198,-0.970941817426052,-0.23931566428755774,3.1780538303479458,3.45412
144223,2025-09-12,8438,216233,114.7125,129.675,0,0,1,0.8846153846153846,-0.970941817426052,-0.23931566428755774,4.060443010546419,4.115448
144247,2025-09-12,8555,216233,110.4375,110.4375,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,2.995732273553991,3.3625517
144267,2025-09-12,8562,216233,118.9875,133.2375,0,0,1,0.8930481283422459,-0.970941817426052,-0.23931566428755774,3.6888794541139363,3.997041
144295,2025-09-12,8869,216233,118.275,118.275,0,0,0,1.0,-0.970941817426052,-0.23931566428755774,4.2626798770413155,4.4261
144318,2025-09-12,8991,216233,112.575,128.9625,0,0,1,0.8729281767955801,-0.970941817426052,-0.23931566428755774,4.110873864173311,3.9518185
144342,2025-09-12,8911,216233,112.575,128.25,0,0,1,0.8777777777777778,-0.970941817426052,-0.23931566428755774,3.871201010907891,3.4458911
